Winner,Margin,Balls Rem,Target,Overs,Opposition,Ground,Match Date,Scorecard
South Africa,10 wickets,51,130,11.3,v Pakistan,Johannesburg,02-Feb-07,T20I # 14
Australia,10 wickets,58,102,10.2,v Sri Lanka,Cape Town,20-Sep-07,T20I # 41
Kenya,10 wickets,45,110,12.3,v Scotland,Nairobi (Gym),01-Feb-10,T20I # 129
New Zealand,10 wickets,70,79,8.2,v Bangladesh,Hamilton,03-Feb-10,T20I # 131
Kenya,10 wickets,33,124,14.3,v Scotland,Nairobi (Gym),04-Feb-10,T20I # 133
England,10 wickets,28,126,15.2,v West Indies,The Oval,23-Sep-11,T20I # 207
New Zealand,10 wickets,39,124,13.3,v Zimbabwe,Harare,15-Oct-11,T20I # 211
Ireland,10 wickets,76,72,7.2,v Kenya,Dubai (DSC),14-Mar-12,T20I # 232
Ireland,10 wickets,63,107,9.3,v Canada,Dubai (DSC),22-Mar-12,T20I # 236
South Africa,10 wickets,44,94,12.4,v Zimbabwe,Hambantota,20-Sep-12,T20I # 266
England,10 wickets,44,140,12.4,v New Zealand,Wellington,15-Feb-13,T20I # 304
New Zealand,10 wickets,14,169,17.4,v Pakistan,Hamilton,17-Jan-16,T20I # 480
India,10 wickets,41,100,13.1,v Zimbabwe,Harare,20-Jun-16,T20I # 559
Afghanistan,10 wickets,73,72,7.5,v Ireland,Dubai (DSC),20-Jan-17,T20I # 588
P.N.G.,10 wickets,60,57,3,v Vanuatu,Port Moresby,24-Mar-19,T20I # 762
Namibia,10 wickets,97,47,3.5,v Botswana,Kampala,22-May-19,T20I # 783
Austria,10 wickets,104,33,2.4,v Turkey,Ilfov County,31-Aug-19,T20I # 875
Greece,10 wickets,93,53,4.3,v Serbia,Corfu,15-Oct-19,T20I # 932
P.N.G.,10 wickets,58,90,10.2,v Bermuda,ICCA Dubai,19-Oct-19,T20I # 940
Australia,10 wickets,49,107,11.5,v Pakistan,Perth,08-Nov-19,T20I # 1009
U.A.E.,10 wickets,87,62,5.3,v Iran,Al Amerat,23-Feb-20,T20I # 1047
Oman,10 wickets,34,130,14.2,v Maldives,Al Amerat,25-Feb-20,T20I # 1058
Romania,10 wickets,86,116,5.4,v Serbia,Sofia,26-Jun-21,T20I # 1173
Belgium,10 wickets,87,51,5.3,v Malta,Marsa,08-Jul-21,T20I # 1183
South Africa,10 wickets,32,121,14.4,v Sri Lanka,Colombo (RPS),14-Sep-21,T20I # 1273
Uganda,10 wickets,54,99,11,v Malawi,Kigali,16-Oct-21,T20I # 1302
Oman,10 wickets,38,130,13.4,v P.N.G.,Al Amerat,17-Oct-21,T20I # 1307
Uganda,10 wickets,98,27,3.4,v Lesotho,Kigali,19-Oct-21,T20I # 1315
Pakistan,10 wickets,13,152,17.5,v India,Dubai (DSC),24-Oct-21,T20I # 1361
U.S.A.,10 wickets,94,65,4.2,v Belize,Coolidge,07-Nov-21,T20I # 1404
U.S.A.,10 wickets,47,91,12.1,v Bahamas,Coolidge,13-Nov-21,T20I # 1423
Australia,10 wickets,36,129,14,v Sri Lanka,Colombo (RPS),07-Jun-22,T20I # 1551
Norway,10 wickets,60,102,10,v Estonia,Kerava,24-Jul-22,T20I # 1681
Tanzania,10 wickets,73,78,7.5,v Cameroon,Benoni,17-Sep-22,T20I # 1780
Pakistan,10 wickets,3,200,19.3,v England,Karachi,22-Sep-22,T20I # 1793
Germany,10 wickets,37,108,13.5,v Italy,Almeria,04-Nov-22,T20I # 1865
Tanzania,10 wickets,77,84,7.1,v Rwanda,Dar-es-Salaam,06-Nov-22,T20I # 1875
England,10 wickets,24,169,16,v India,Adelaide,10-Nov-22,T20I # 1878
Botswana,10 wickets,73,92,7.5,v Lesotho,Kigali,18-Nov-22,T20I # 1892
Kenya,10 wickets,105,31,2.3,v Mali,Kigali,20-Nov-22,T20I # 1900
